materiau,size,PSNR
alum-bronze,162000,33.065631164844575
alum-bronze,48600,33.31381849228387
alum-bronze,16200,33.33728281890042
alum-bronze,8100,33.34639990295395
alum-bronze,3240,28.751930839959673
